data_previsao,produto,categoria,mes,dia_semana,preco_unitario,previsao,limite_reposicao,alerta_reposicao
2024-01-02,Leite Integral,Laticínios,1,Tuesday,4.616060191518468,80,90.0,False
2024-01-02,Pão Francês,Padaria,1,Tuesday,0.5138030095759234,71,70.0,True
2024-01-02,Banana Nanica,Hortifruti,1,Tuesday,3.0786730506155955,81,80.0,True
2024-01-02,Coca-Cola 2L,Bebidas,1,Tuesday,7.693625170998632,123,120.0,True
2024-01-02,Arroz 5kg,Mercearia,1,Tuesday,20.500136798905608,79,100.0,False
2024-01-02,Feijão Carioca,Mercearia,1,Tuesday,8.188878248974008,77,100.0,False
2024-01-02,Sabonete,Higiene,1,Tuesday,2.047578659370725,76,60.0,True
2024-01-02,Fralda Infantil,Infantil,1,Tuesday,40.95129958960329,75,,False
2024-01-02,Queijo Mussarela,Laticínios,1,Tuesday,35.84072503419973,81,90.0,False
2024-01-02,Cerveja Lata,Bebidas,1,Tuesday,3.0871819425444595,123,120.0,True
2024-01-02,Iogurte Natural,Laticínios,1,Tuesday,2.5645964432284543,81,90.0,False
2024-01-02,Manteiga 200g,Laticínios,1,Tuesday,6.147783857729138,80,90.0,False
2024-01-02,Tomate,Hortifruti,1,Tuesday,4.097578659370725,81,80.0,True
2024-01-02,Alface,Hortifruti,1,Tuesday,2.052421340629275,79,80.0,False
2024-01-02,Cenoura,Hortifruti,1,Tuesday,3.0742954856361147,81,80.0,True
2024-01-02,Detergente,Limpeza,1,Tuesday,2.257250341997264,77,60.0,True
2024-01-02,Desinfetante,Limpeza,1,Tuesday,4.617647058823529,77,60.0,True
2024-01-02,Shampoo,Higiene,1,Tuesday,10.263761969904241,80,60.0,True
2024-01-02,Creme Dental,Higiene,1,Tuesday,3.0739124487004106,80,60.0,True
2024-01-02,Papel Higiênico,Higiene,1,Tuesday,10.269302325581394,80,60.0,True
2024-01-02,Óleo de Soja,Mercearia,1,Tuesday,7.185417236662107,80,100.0,False
2024-01-02,Macarrão Espaguete,Mercearia,1,Tuesday,4.100738714090287,76,100.0,False
2024-01-02,Molho de Tomate,Mercearia,1,Tuesday,3.0834746922024623,78,100.0,False
2024-01-02,Café 500g,Mercearia,1,Tuesday,12.283844049247605,76,100.0,False
2024-01-02,Biscoito Recheado,Mercearia,1,Tuesday,2.5671956224350208,77,100.0,False
2024-01-02,"Água Mineral 1,5L",Bebidas,1,Tuesday,2.052749658002736,121,120.0,True
2024-01-02,Suco de Laranja,Bebidas,1,Tuesday,5.122229822161422,124,120.0,True
2024-01-02,Vinho Tinto,Bebidas,1,Tuesday,30.782257181942548,123,120.0,True
2024-01-02,Frango Congelado,Carnes,1,Tuesday,15.320341997264022,79,130.0,False
2024-01-02,Carne Moída,Carnes,1,Tuesday,25.645061559507525,81,130.0,False
